1	700	300
2	668	300
3	627	300
4	593	300
5	569	300
6	553	300
7	802	300
8	1028	300
9	1251	80
10	1461	69
11	1695	59
12	1927	87
13	2278	117
14	2746	140
15	3312	158
16	3929	171
17	4599	182
18	5350	196
19	6124	206
20	6956	214
21	7687	212
22	8259	212
23	8705	222
24	9007	249
25	9215	270
26	9298	293
27	9341	314
28	9353	332
29	9372	349
30	9359	374
31	9334	399
32	9300	432
33	9259	467
34	9202	501
35	9158	544
36	9112	608
37	9042	665
38	8960	729
39	8869	795
40	8776	880
41	8636	970
42	8506	1063
43	8389	1194
44	8257	1319
45	8114	1433
46	7946	1572
47	7774	1711
48	7578	1853
49	7362	1981
50	7164	2122
51	6952	2289
52	6757	2444
53	6522	2594
54	6285	2758
55	6037	2927
56	5794	3104
57	5553	3233
58	5307	3389
59	5066	3450
60	4817	3555
61	4594	3652
62	4350	3673
63	4130	3718
64	3872	3723
65	3601	3747
66	3339	3714
67	3065	3701
68	2854	3715
69	2615	3655
70	2424	3636
71	2192	3602
72	1983	3576
73	1789	3554
74	1631	3509
75	1470	3454
76	1320	3350
77	1191	3288
78	1051	3164
79	946	3033
80	839	2859
81	739	2680
82	650	2477
83	559	2297
84	490	2122
85	444	1927
86	385	1764
87	352	1580
88	306	1433
89	266	1311
90	247	1220
91	235	1158
92	238	1070
93	248	989
94	274	889
95	316	815
96	367	741
97	441	647
98	518	559
99	601	469
100	717	390
101	847	309
102	979	253
103	1147	188
104	1347	144
105	1544	109
106	1779	85
107	2021	69
108	2280	63
109	2574	60
110	2881	55
111	3205	55
112	3543	61
113	3903	66
114	4287	65
115	4661	64
116	5006	63
117	5370	65
118	5744	67
119	6144	72
120	6497	76
121	6861	79
122	7214	90
123	7531	98
124	7833	110
125	8126	121
126	8376	137
127	8580	156
128	8769	171
129	8926	194
130	9032	216
131	9143	233
132	9214	253
133	9275	282
134	9312	302
135	9342	325
136	9384	354
137	9390	374
138	9398	403
139	9400	434
140	9360	462
141	9316	489
142	9272	509
143	9230	535
144	9180	552
145	9130	589
146	9065	613
147	9012	624
148	8965	657
149	8900	677
150	8828	695
151	8769	726
152	8715	745
153	8656	778
154	8604	793
155	8517	802
156	8428	828
157	8345	849
158	8270	883
159	8190	914
160	8132	979
161	8031	1035
162	7939	1088
163	7836	1137
164	7753	1214
165	7642	1265
166	7556	1290
167	7460	1314
168	7369	1340
169	7260	1360
170	7169	1353
171	7084	1381
172	6993	1383
173	6886	1400
174	6781	1381
175	6679	1424
176	6549	1431
177	6460	1420
178	6365	1448
179	6254	1491
180	6142	1502
181	6040	1527
182	5934	1571
183	5793	1569
184	5687	1608
185	5584	1643
186	5465	1646
187	5355	1677
188	5247	1711
189	5113	1728
190	4989	1743
191	4867	1792
192	4751	1811
193	4650	1836
194	4522	1862
195	4420	1853
196	4308	1835
197	4208	1828
198	4090	1836
199	3977	1848
200	3905	1876
201	3831	1889
202	3788	1902
203	3721	1922
204	3677	1956
205	3662	1980
206	3633	1987
207	3616	1981
208	3594	1929
209	3593	1910
210	3582	1890
211	3616	1825
212	3622	1797
213	3620	1772
214	3656	1744
215	3675	1727
216	3722	1727
217	3753	1680
218	3787	1680
219	3810	1655
220	3848	1626
221	3862	1595
222	3905	1582
223	3944	1572
224	3945	1580
225	3979	1614
226	3995	1613
227	4026	1634
228	4033	1651
229	4059	1701
230	4110	1716
231	4155	1734
232	4194	1745
233	4243	1721
234	4248	1734
235	4288	1735
236	4308	1771
237	4327	1809
238	4327	1865
239	4313	1919
240	4307	1989
241	4297	2069
242	4249	2161
243	4191	2272
244	4148	2367
245	4049	2455
246	3986	2540
247	3889	2617
248	3802	2692
249	3716	2769
250	3614	2848
251	3511	2868
252	3400	2907
253	3302	2939
254	3209	2955
255	3124	2966
256	3028	2950
257	2928	2924
258	2833	2889
259	2713	2864
260	2598	2822
261	2482	2791
262	2376	2748
263	2263	2704
264	2159	2695
265	2075	2682
266	1970	2670
267	1880	2646
268	1792	2630
269	1720	2634
270	1616	2612
271	1545	2595
272	1501	2554
273	1460	2487
274	1411	2439
275	1354	2339
276	1325	2261
277	1293	2171
278	1284	2104
279	1293	2019
280	1341	1960
281	1389	1884
282	1436	1806
283	1504	1768
284	1572	1688
285	1672	1637
286	1772	1568
287	1910	1508
288	2056	1470
289	2268	1416
290	2466	1368
291	2636	1308
292	2820	1263
293	2992	1216
294	3152	1174
295	3322	1162
296	3493	1138
297	3649	1123
298	3814	1106
299	4010	1092
300	4202	1099
301	4338	1092
302	4470	1132
303	4586	1177
304	4694	1234
305	4808	1280
306	4867	1365
307	4909	1454
308	4961	1505
309	4976	1570
310	5011	1644
311	5046	1683
312	5092	1716
313	5107	1768
314	5170	1805
315	5187	1835
316	5244	1882
317	5251	1911
318	5260	1944
319	5231	2027
320	5125	2085
321	5043	2157
322	4966	2196
323	4889	2280
324	4748	2327
325	4608	2388
326	4446	2458
